X,Y
2.09E+01,0.00E+00
2.09E+01,3.65E-01
2.09E+01,7.30E-01
2.09E+01,1.10E+00
2.09E+01,1.46E+00
2.09E+01,1.83E+00
2.09E+01,2.19E+00
2.08E+01,2.56E+00
2.08E+01,2.92E+00
2.07E+01,3.28E+00
2.07E+01,3.64E+00
2.06E+01,4.00E+00
2.05E+01,4.36E+00
2.04E+01,4.71E+00
2.03E+01,5.06E+00
2.02E+01,5.41E+00
2.01E+01,5.76E+00
2.00E+01,6.10E+00
1.98E+01,6.44E+00
1.97E+01,6.78E+00
1.95E+01,7.11E+00
1.94E+01,7.44E+00
1.92E+01,7.76E+00
1.90E+01,8.08E+00
1.88E+01,8.39E+00
1.86E+01,8.70E+00
1.85E+01,9.00E+00
1.82E+01,9.30E+00
1.80E+01,9.59E+00
1.78E+01,9.87E+00
1.76E+01,1.01E+01
1.73E+01,1.04E+01
1.71E+01,1.07E+01
1.69E+01,1.09E+01
1.66E+01,1.12E+01
1.63E+01,1.14E+01
1.61E+01,1.17E+01
1.58E+01,1.19E+01
1.55E+01,1.21E+01
1.52E+01,1.23E+01
1.50E+01,1.25E+01
1.47E+01,1.27E+01
1.44E+01,1.29E+01
1.41E+01,1.31E+01
1.38E+01,1.33E+01
1.35E+01,1.35E+01
1.31E+01,1.36E+01
1.28E+01,1.38E+01
1.25E+01,1.39E+01
1.22E+01,1.40E+01
1.19E+01,1.41E+01
1.15E+01,1.42E+01
1.12E+01,1.43E+01
1.09E+01,1.44E+01
1.05E+01,1.45E+01
1.02E+01,1.46E+01
9.88E+00,1.46E+01
9.55E+00,1.47E+01
9.21E+00,1.47E+01
8.88E+00,1.48E+01
8.55E+00,1.48E+01
8.21E+00,1.48E+01
7.88E+00,1.48E+01
7.55E+00,1.48E+01
7.22E+00,1.48E+01
6.89E+00,1.48E+01
6.56E+00,1.47E+01
6.24E+00,1.47E+01
5.92E+00,1.46E+01
5.60E+00,1.46E+01
5.28E+00,1.45E+01
4.97E+00,1.44E+01
4.66E+00,1.43E+01
4.35E+00,1.42E+01
4.05E+00,1.41E+01
3.75E+00,1.40E+01
3.46E+00,1.39E+01
3.17E+00,1.37E+01
2.89E+00,1.36E+01
2.61E+00,1.34E+01
2.34E+00,1.33E+01
2.08E+00,1.31E+01
1.82E+00,1.29E+01
1.57E+00,1.28E+01
1.32E+00,1.26E+01
1.08E+00,1.24E+01
8.50E-01,1.22E+01
6.26E-01,1.19E+01
4.09E-01,1.17E+01
2.01E-01,1.15E+01
6.89E-16,1.13E+01
-1.92E-01,1.10E+01
-3.77E-01,1.08E+01
-5.53E-01,1.06E+01
-7.23E-01,1.03E+01
-8.87E-01,1.01E+01
-1.04E+00,9.94E+00
-1.20E+00,9.74E+00
-1.34E+00,9.56E+00
-1.49E+00,9.38E+00
-1.62E+00,9.20E+00
-1.76E+00,9.03E+00
-1.89E+00,8.87E+00
-2.01E+00,8.71E+00
-2.13E+00,8.56E+00
-2.25E+00,8.41E+00
-2.37E+00,8.26E+00
-2.48E+00,8.12E+00
-2.59E+00,7.98E+00
-2.70E+00,7.84E+00
-2.80E+00,7.71E+00
-2.91E+00,7.57E+00
-3.01E+00,7.45E+00
-3.11E+00,7.32E+00
-3.20E+00,7.20E+00
-3.30E+00,7.08E+00
-3.39E+00,6.96E+00
-3.49E+00,6.84E+00
-3.58E+00,6.73E+00
-3.67E+00,6.61E+00
-3.75E+00,6.50E+00
-3.84E+00,6.39E+00
-3.93E+00,6.28E+00
-4.01E+00,6.18E+00
-4.09E+00,6.07E+00
-4.18E+00,5.96E+00
-4.26E+00,5.86E+00
-4.34E+00,5.76E+00
-4.42E+00,5.66E+00
-4.50E+00,5.56E+00
-4.58E+00,5.46E+00
-4.66E+00,5.36E+00
-4.73E+00,5.26E+00
-4.81E+00,5.16E+00
-4.89E+00,5.06E+00
-4.96E+00,4.96E+00
-5.04E+00,4.87E+00
-5.12E+00,4.77E+00
-5.19E+00,4.68E+00
-5.27E+00,4.58E+00
-5.34E+00,4.48E+00
-5.42E+00,4.39E+00
-5.49E+00,4.29E+00
-5.57E+00,4.20E+00
-5.65E+00,4.10E+00
-5.72E+00,4.01E+00
-5.80E+00,3.91E+00
-5.87E+00,3.81E+00
-5.95E+00,3.72E+00
-6.02E+00,3.62E+00
-6.10E+00,3.52E+00
-6.18E+00,3.42E+00
-6.26E+00,3.33E+00
-6.33E+00,3.23E+00
-6.41E+00,3.13E+00
-6.49E+00,3.03E+00
-6.57E+00,2.93E+00
-6.65E+00,2.82E+00
-6.73E+00,2.72E+00
-6.82E+00,2.62E+00
-6.90E+00,2.51E+00
-6.98E+00,2.40E+00
-7.07E+00,2.30E+00
-7.15E+00,2.19E+00
-7.24E+00,2.08E+00
-7.33E+00,1.96E+00
-7.42E+00,1.85E+00
-7.51E+00,1.73E+00
-7.60E+00,1.62E+00
-7.70E+00,1.50E+00
-7.80E+00,1.37E+00
-7.89E+00,1.25E+00
-7.99E+00,1.12E+00
-8.10E+00,9.94E-01
-8.20E+00,8.62E-01
-8.31E+00,7.27E-01
-8.41E+00,5.88E-01
-8.53E+00,4.47E-01
-8.64E+00,3.02E-01
-8.76E+00,1.53E-01
-8.88E+00,1.09E-15
-9.00E+00,-1.57E-01
-9.13E+00,-3.19E-01
-9.26E+00,-4.85E-01
-9.40E+00,-6.57E-01
-9.54E+00,-8.34E-01
-9.68E+00,-1.02E+00
-9.83E+00,-1.21E+00
-9.98E+00,-1.40E+00
-1.01E+01,-1.61E+00
-1.03E+01,-1.82E+00
-1.05E+01,-2.04E+00
-1.07E+01,-2.27E+00
-1.09E+01,-2.51E+00
-1.10E+01,-2.75E+00
-1.12E+01,-3.01E+00
-1.14E+01,-3.28E+00
-1.16E+01,-3.55E+00
-1.18E+01,-3.84E+00
-1.20E+01,-4.13E+00
-1.22E+01,-4.43E+00
-1.24E+01,-4.74E+00
-1.25E+01,-5.07E+00
-1.27E+01,-5.40E+00
-1.29E+01,-5.74E+00
-1.31E+01,-6.09E+00
-1.32E+01,-6.45E+00
-1.34E+01,-6.81E+00
-1.35E+01,-7.18E+00
-1.36E+01,-7.56E+00
-1.37E+01,-7.93E+00
-1.38E+01,-8.31E+00
-1.39E+01,-8.68E+00
-1.40E+01,-9.06E+00
-1.40E+01,-9.44E+00
-1.40E+01,-9.82E+00
-1.40E+01,-1.02E+01
-1.40E+01,-1.06E+01
-1.40E+01,-1.09E+01
-1.40E+01,-1.13E+01
-1.39E+01,-1.17E+01
-1.39E+01,-1.21E+01
-1.38E+01,-1.24E+01
-1.37E+01,-1.28E+01
-1.36E+01,-1.31E+01
-1.35E+01,-1.35E+01
-1.33E+01,-1.38E+01
-1.32E+01,-1.41E+01
-1.30E+01,-1.45E+01
-1.29E+01,-1.48E+01
-1.27E+01,-1.51E+01
-1.25E+01,-1.54E+01
-1.23E+01,-1.57E+01
-1.21E+01,-1.60E+01
-1.18E+01,-1.63E+01
-1.16E+01,-1.65E+01
-1.13E+01,-1.68E+01
-1.11E+01,-1.71E+01
-1.08E+01,-1.73E+01
-1.05E+01,-1.75E+01
-1.02E+01,-1.77E+01
-9.94E+00,-1.79E+01
-9.64E+00,-1.81E+01
-9.33E+00,-1.83E+01
-9.01E+00,-1.85E+01
-8.69E+00,-1.86E+01
-8.36E+00,-1.88E+01
-8.03E+00,-1.89E+01
-7.69E+00,-1.90E+01
-7.34E+00,-1.91E+01
-6.99E+00,-1.92E+01
-6.64E+00,-1.93E+01
-6.29E+00,-1.94E+01
-5.93E+00,-1.94E+01
-5.57E+00,-1.94E+01
-5.21E+00,-1.95E+01
-4.85E+00,-1.95E+01
-4.49E+00,-1.95E+01
-4.13E+00,-1.94E+01
-3.77E+00,-1.94E+01
-3.41E+00,-1.93E+01
-3.05E+00,-1.93E+01
-2.70E+00,-1.92E+01
-2.35E+00,-1.91E+01
-2.00E+00,-1.90E+01
-1.65E+00,-1.89E+01
-1.31E+00,-1.87E+01
-9.76E-01,-1.86E+01
-6.46E-01,-1.85E+01
-3.20E-01,-1.84E+01
-3.35E-15,-1.82E+01
3.15E-01,-1.81E+01
6.26E-01,-1.79E+01
9.31E-01,-1.78E+01
1.23E+00,-1.76E+01
1.53E+00,-1.75E+01
1.82E+00,-1.73E+01
2.11E+00,-1.71E+01
2.39E+00,-1.70E+01
2.66E+00,-1.68E+01
2.94E+00,-1.67E+01
3.20E+00,-1.65E+01
3.47E+00,-1.63E+01
3.73E+00,-1.61E+01
3.98E+00,-1.60E+01
4.23E+00,-1.58E+01
4.47E+00,-1.56E+01
4.71E+00,-1.54E+01
4.95E+00,-1.52E+01
5.18E+00,-1.51E+01
5.41E+00,-1.49E+01
5.64E+00,-1.47E+01
5.86E+00,-1.45E+01
6.07E+00,-1.43E+01
6.28E+00,-1.41E+01
6.49E+00,-1.39E+01
6.70E+00,-1.37E+01
6.90E+00,-1.35E+01
7.09E+00,-1.33E+01
7.29E+00,-1.32E+01
7.49E+00,-1.30E+01
7.68E+00,-1.28E+01
7.87E+00,-1.26E+01
8.06E+00,-1.24E+01
8.25E+00,-1.22E+01
8.43E+00,-1.20E+01
8.62E+00,-1.19E+01
8.81E+00,-1.17E+01
8.99E+00,-1.15E+01
9.17E+00,-1.13E+01
9.36E+00,-1.12E+01
9.54E+00,-1.10E+01
9.72E+00,-1.08E+01
9.91E+00,-1.06E+01
1.01E+01,-1.04E+01
1.03E+01,-1.03E+01
1.05E+01,-1.01E+01
1.06E+01,-9.92E+00
1.08E+01,-9.74E+00
1.10E+01,-9.56E+00
1.12E+01,-9.38E+00
1.14E+01,-9.21E+00
1.16E+01,-9.03E+00
1.17E+01,-8.85E+00
1.19E+01,-8.67E+00
1.21E+01,-8.48E+00
1.23E+01,-8.30E+00
1.25E+01,-8.11E+00
1.27E+01,-7.93E+00
1.29E+01,-7.74E+00
1.31E+01,-7.55E+00
1.33E+01,-7.36E+00
1.35E+01,-7.17E+00
1.37E+01,-6.97E+00
1.39E+01,-6.77E+00
1.41E+01,-6.57E+00
1.43E+01,-6.37E+00
1.45E+01,-6.16E+00
1.47E+01,-5.95E+00
1.49E+01,-5.74E+00
1.52E+01,-5.52E+00
1.54E+01,-5.30E+00
1.56E+01,-5.08E+00
1.59E+01,-4.85E+00
1.61E+01,-4.62E+00
1.64E+01,-4.38E+00
1.66E+01,-4.14E+00
1.69E+01,-3.89E+00
1.71E+01,-3.64E+00
1.74E+01,-3.38E+00
1.77E+01,-3.11E+00
1.79E+01,-2.84E+00
1.82E+01,-2.56E+00
1.85E+01,-2.27E+00
1.88E+01,-1.98E+00
1.91E+01,-1.68E+00
1.95E+01,-1.36E+00
1.98E+01,-1.04E+00
2.02E+01,-7.04E-01
2.05E+01,-3.58E-01
2.08E+01,-5.10E-15