# Index,Max Radius,Max Force Percentage,Max Force,Sitting Force,Total Error
52,2.53,32.27,174.85,3.07,5.97
102,2.52,33.18,177.69,1.63,7.52
153,1.89,32.73,177.17,3.41,7.69
70,1.78,33.18,177.28,3.06,7.81
159,2.19,32.73,176.74,3.7,7.85
13,2.71,33.64,173.73,2.93,8.04
86,2.2,32.73,175.59,5.07,8.08
29,4.93,32.27,174.85,3.07,8.37
12,2.88,32.27,175.01,5.31,8.43
158,4.72,32.73,175.85,2.9,8.69
166,2.12,32.27,174.22,5.62,8.74
35,2.41,32.27,173.29,4.47,8.81
164,2.67,32.73,179.15,1.9,8.94
1,5.42,33.18,174.88,2.89,9.11
31,5.39,33.18,173.28,2,9.79
27,5.23,32.73,172.86,2.44,10.05
28,4.98,32.73,172.92,2.85,10.13
11,4.67,32.73,177.47,2.92,10.28
42,2.65,32.73,174.86,7.27,10.28
8,3.4,33.18,175.01,6.22,10.31
72,2.48,32.73,170.48,3.27,10.49
25,1.23,29.55,176.51,5.18,10.87
125,1.65,32.27,176.35,7.77,11
123,2.67,32.73,181.5,1.9,11.29
30,4.73,32.73,170.95,2.7,11.71
20,2.12,37.27,176.57,3.55,12.02
21,1.48,35.45,179.03,3.96,12.43
154,2.45,32.27,168.1,2.89,12.47
109,1.45,32.73,178.95,6.95,12.58
69,2.27,33.18,182.87,2,12.82
4,1.43,30.91,175,10.2,13.23
152,1.55,32.73,176.15,10.5,13.43
131,1.35,31.82,172.96,9.68,13.75
116,1.58,33.64,178.66,7.41,13.78
114,1.54,32.73,176.64,10.57,13.98
5,2.28,37.27,174.68,6.71,14.08
97,2.08,32.73,185.84,1.72,14.87
100,1.57,30.91,178.43,8.34,14.93
161,1.55,32.73,178.55,9.72,15.05
128,1.33,30.45,178.01,8.75,15.14
106,1.48,31.82,183.76,4.34,15.26
140,1.56,33.64,171.62,9.19,15.26
68,1.75,33.18,184.29,3.59,15.31
89,1.3,31.36,173,11.67,16.1
71,2.15,33.64,185.23,2.6,16.12
160,1.91,33.18,185.98,2.73,16.3
139,1.2,31.82,169.66,9.14,16.36
136,1.37,31.82,185.18,4.16,16.39
60,1.84,32.73,186.03,3.3,16.41
194,1.33,31.36,177.73,11.24,16.44
135,1.4,32.73,169.89,9.72,16.46
110,1.67,32.73,186.4,3.2,16.5
104,1.52,32.73,175.29,14.94,16.97
120,1.23,32.27,178.67,12.25,17.37
195,1.28,31.82,173.56,14.48,17.88
177,1.4,32.27,182.96,8.82,18.4
196,1.36,31.82,173.56,15.28,18.76
63,1.2,31.36,172.1,14.02,19.26
7,3.97,33.18,175,14.69,19.35
129,1.24,32.73,186.61,6.76,19.83
90,1.54,32.27,190.01,3.7,20.48
45,1.43,30.45,175.45,16.81,20.74
172,1.96,32.27,175.1,18.99,21.28
95,2.04,32.73,191.92,2.35,21.54
91,1.97,32.27,175.02,19.64,21.85
199,1.29,32.27,175.45,20.55,22.52
61,1.22,32.27,185.66,11.19,23.29
124,1.32,32.73,192.85,4.06,23.46
174,1.23,32.73,190.63,6.51,23.59
48,1.72,32.73,194.34,2.53,23.82
94,1.4,30.45,174.06,20.15,24.54
119,1.22,32.27,184.82,13.3,24.57
73,1.22,32.27,184.79,13.35,24.58
133,1.15,31.82,181.85,16.48,25.16
38,1.15,31.82,180.6,17.81,25.24
180,1.18,32.27,172.96,22.18,25.63
155,1.18,31.36,188.16,10.16,25.64
126,1.15,31.82,182.48,16.34,25.66
198,1.23,32.27,192.38,6.84,25.68
22,1.23,30,192.38,4.87,25.99
151,1.26,31.82,172.64,22,26.31
15,1.23,30,193.12,4.59,26.45
112,1.16,31.82,187.14,14.27,28.25
33,1.64,32.73,198.33,3.19,28.38
62,1.21,32.27,186.43,15.91,28.78
162,1.22,32.27,197.18,6.11,29.74
23,1.23,30.91,176.23,26.05,30.11
169,1.19,32.27,190.98,13.31,30.71
55,1.3,31.82,174.97,29.74,31.75
130,1.25,30,199.42,4.27,32.44
59,1.12,31.36,187.48,18.7,33.43
145,1.13,31.82,183.39,23.22,33.43
19,1.11,30.45,195,11.46,34.62
40,1.22,33.64,176.3,31.94,35.59
143,1.18,32.27,196.56,12.62,35.59
87,1.08,31.82,179.71,30.39,36.86
193,1.08,31.82,181.16,29.05,36.96
107,1.71,32.27,207.49,2.57,36.99
167,1.07,31.82,184.35,25.88,36.99
101,1.08,31.82,181.36,29.08,37.2
179,1.08,31.82,182.19,28.69,37.65
56,1.09,31.82,171.77,32.76,37.76
83,1.08,31.82,180.93,30.15,37.83
77,1.2,31.36,202.95,8.12,38.4
57,1.09,31.36,188.31,23,38.53
137,1.22,30,203.52,6.5,38.73
175,1.04,31.36,173.04,35.46,39.59
76,1.09,31.36,189.32,23.42,39.96
78,1.71,32.73,210.78,2.33,40.04
191,1.09,31.36,191.7,21.11,40.04
173,1.26,32.27,210.23,3.64,40.35
150,1.18,32.27,202.11,12.4,40.92
6,2.05,32.73,212.44,1.39,41.11
182,1.09,31.36,191.35,22.6,41.17
186,1.18,32.27,202.67,12.31,41.38
84,1.21,32.27,210.98,4.24,41.65
108,1.09,30.45,188.07,25.46,41.67
43,1.16,32.27,178.91,36.42,41.71
183,1.25,31.36,175.52,38.91,41.82
2,1.87,32.27,174.98,39.87,41.98
170,1.07,31.82,183.04,32.32,42.11
49,1.93,32.73,213.41,1.79,42.36
189,1.09,31.36,194.74,20.78,42.74
9,1.25,29.09,174.61,37.81,42.86
96,1.1,32.27,182.52,34.4,43.24
187,1.1,32.27,181.93,35.21,43.47
88,1.95,32.73,214.63,1.71,43.51
192,1.11,32.27,189.71,27.61,43.65
103,1.09,31.36,195.9,20.66,43.79
79,1.18,33.18,183.05,34.07,43.98
118,1.17,33.18,182.51,34.71,44.08
176,1.1,32.27,189.42,28.4,44.15
188,1.18,28.64,175.89,38.22,44.15
141,1.1,32.27,189.72,28.29,44.34
64,1.11,32.27,190.48,27.58,44.4
93,1.14,31.82,178.14,39.58,44.54
149,1.16,32.27,180.74,37.48,44.6
24,1.09,31.36,196.57,20.99,44.78
111,1.2,31.36,209.8,7.68,44.81
10,1.18,36.82,174.37,38.72,44.85
26,1.16,32.27,181.19,37.36,44.93
34,1.11,32.27,195.1,23.54,44.98
127,1.09,31.36,196.11,21.75,45.08
75,1.09,31.36,196.8,21.12,45.15
144,1.2,31.36,210.5,7.47,45.3
148,1.08,31.36,197.68,20.4,45.3
184,1.18,31.36,209.99,8.12,45.43
146,1.14,31.36,203.88,14.41,45.56
74,1.21,30,211.82,5.68,46.21
163,1.21,32.73,214.55,5.74,46.73
113,1.15,32.27,213.58,6.88,46.84
54,1.08,31.36,195.08,24.6,46.89
80,1.17,33.18,201.74,18.45,47.04
82,1.1,32.27,194.44,26.3,47.07
147,1.49,32.73,217.64,2.89,47.24
115,1.19,31.36,214.37,5.6,47.3
121,1.07,31.36,197.43,22.8,47.44
168,1.19,31.82,217.09,3.84,47.8
122,1.07,31.36,195.99,24.8,48
138,1.21,32.27,216.5,5.26,48.19
32,2.01,33.18,219.11,1.68,48.48
157,1.09,31.36,202.23,19.95,49.41
39,1.12,32.27,200.04,23.38,49.78
165,1.1,31.36,204.86,18.39,50.48
98,1.1,31.36,205.49,18.22,50.95
18,1.19,31.82,218.76,5.44,51.07
65,1.16,32.73,204.1,21.65,52.14
171,1.11,32.27,205.29,20.9,52.53
190,1.1,31.82,202.46,23.29,52.53
99,1.15,32.27,220.47,6.5,53.35
58,1.18,31.82,220.3,6.45,53.62
37,1.04,30.91,192.63,33.66,53.92
41,1.15,32.27,221.42,6.33,54.12
178,1.11,31.82,206.55,20.81,54.14
142,1.11,31.82,206.8,20.8,54.39
44,1.11,32.27,209.21,19.25,54.8
53,1.15,32.27,222.4,6.39,55.17
134,1.11,32.27,209.26,19.77,55.38
67,1.15,32.27,222.94,6.1,55.41
85,1.11,32.27,204.96,25.22,56.52
117,1.13,31.36,216.56,12.79,56.62
197,1.13,31.36,215.63,14.72,57.62
156,1.13,31.36,215.37,15.31,57.95
185,1.12,31.82,212.14,19.11,58.05
17,1.04,28.64,158.58,36.97,58.3
51,1.13,31.36,215.77,15.32,58.36
47,1.08,32.27,201.33,32.37,60.01
50,1.09,31.82,207.87,25.84,60.48
92,1.03,30.45,204.43,28.6,61.1
181,1.05,33.18,197.8,37.34,61.88
81,1.03,30.45,207.73,27.87,63.67
46,1.03,30.45,212.15,26.95,67.17
16,1.04,36.36,199.27,39.16,68.33
3,1.02,30.45,205.73,35.15,68.95
66,1.05,33.18,206.19,37.34,70.26
132,1.08,32.27,217.15,28.76,72.22
14,1.04,34.09,215.43,30.65,73.71
0,1.09,32.27,223.33,25.59,75.24
36,1.03,31.82,218.04,35.59,80.33
105,1.08,32.27,216.71,38.27,81.29